HDR,ROLLING SYSTEM DEMAND
VD,20220124220000,35184
VD,20220124220500,34721
VD,20220124221000,34573
VD,20220124221500,34063
VD,20220124222000,33701
VD,20220124222500,33468
VD,20220124223000,33192
VD,20220124223500,33014
VD,20220124224000,32832
VD,20220124224500,32468
VD,20220124225000,32033
VD,20220124225500,31837
VD,20220124230000,31631
VD,20220124230500,31856
VD,20220124231000,32253
VD,20220124231500,32218
VD,20220124232000,32135
VD,20220124232500,31961
VD,20220124233000,31951
VD,20220124233500,31945
VD,20220124234000,31901
VD,20220124234500,31777
VD,20220124235000,31659
VD,20220124235500,31498
VD,20220125000000,31527
VD,20220125000500,31834
VD,20220125001000,31914
VD,20220125001500,31857
VD,20220125002000,31755
VD,20220125002500,31679
VD,20220125003000,31614
VD,20220125003500,31837
VD,20220125004000,31895
VD,20220125004500,31915
VD,20220125005000,31672
VD,20220125005500,31627
VD,20220125010000,31694
VD,20220125010500,32021
VD,20220125011000,32128
VD,20220125011500,32193
VD,20220125012000,32177
VD,20220125012500,32077
VD,20220125013000,31962
VD,20220125013500,31863
VD,20220125014000,31752
VD,20220125014500,31671
VD,20220125015000,31608
VD,20220125015500,31544
VD,20220125020000,31477
VD,20220125020500,31495
VD,20220125021000,31456
VD,20220125021500,31471
VD,20220125022000,31523
VD,20220125022500,31499
VD,20220125023000,31393
VD,20220125023500,31408
VD,20220125024000,31382
VD,20220125024500,31351
VD,20220125025000,31288
VD,20220125025500,31255
VD,20220125030000,31233
VD,20220125030500,31188
VD,20220125031000,31125
VD,20220125031500,31025
VD,20220125032000,30897
VD,20220125032500,30774
VD,20220125033000,30684
VD,20220125033500,30725
VD,20220125034000,30743
VD,20220125034500,30736
VD,20220125035000,30665
VD,20220125035500,30617
VD,20220125040000,30596
VD,20220125040500,30726
VD,20220125041000,30863
VD,20220125041500,30857
VD,20220125042000,30831
VD,20220125042500,30793
VD,20220125043000,30806
VD,20220125043500,30870
VD,20220125044000,31004
VD,20220125044500,30941
VD,20220125045000,30879
VD,20220125045500,30961
VD,20220125050000,31121
VD,20220125050500,31264
VD,20220125051000,31397
VD,20220125051500,31373
VD,20220125052000,31405
VD,20220125052500,31537
VD,20220125053000,31659
VD,20220125053500,31933
VD,20220125054000,32198
VD,20220125054500,32405
VD,20220125055000,32573
VD,20220125055500,32773
VD,20220125060000,32968
VD,20220125060500,33341
VD,20220125061000,33825
VD,20220125061500,34368
VD,20220125062000,34843
VD,20220125062500,35223
VD,20220125063000,35572
VD,20220125063500,35844
VD,20220125064000,36188
VD,20220125064500,36520
VD,20220125065000,37025
VD,20220125065500,37321
VD,20220125070000,37384
VD,20220125070500,37421
VD,20220125071000,37971
VD,20220125071500,38520
VD,20220125072000,39090
VD,20220125072500,39437
VD,20220125073000,39762
VD,20220125073500,40105
VD,20220125074000,40285
VD,20220125074500,40413
VD,20220125075000,40459
VD,20220125075500,40618
VD,20220125080000,40719
VD,20220125080500,40515
VD,20220125081000,40763
VD,20220125081500,41010
VD,20220125082000,41254
VD,20220125082500,41390
VD,20220125083000,41420
VD,20220125083500,41440
VD,20220125084000,41419
VD,20220125084500,41443
VD,20220125085000,41538
VD,20220125085500,41645
VD,20220125090000,41862
VD,20220125090500,42174
VD,20220125091000,42456
VD,20220125091500,42572
VD,20220125092000,42838
VD,20220125092500,43105
VD,20220125093000,43208
VD,20220125093500,43062
VD,20220125094000,42982
VD,20220125094500,42865
VD,20220125095000,42974
VD,20220125095500,43046
VD,20220125100000,42843
VD,20220125100500,43000
VD,20220125101000,43258
VD,20220125101500,43281
VD,20220125102000,43167
VD,20220125102500,42993
VD,20220125103000,43064
VD,20220125103500,43031
VD,20220125104000,43014
VD,20220125104500,43101
VD,20220125105000,43189
VD,20220125105500,43124
VD,20220125110000,43147
VD,20220125110500,43381
VD,20220125111000,43418
VD,20220125111500,43435
VD,20220125112000,43341
VD,20220125112500,43280
VD,20220125113000,43356
VD,20220125113500,43406
VD,20220125114000,43390
VD,20220125114500,43377
VD,20220125115000,43369
VD,20220125115500,43433
VD,20220125120000,43487
VD,20220125120500,43613
VD,20220125121000,43842
VD,20220125121500,43875
VD,20220125122000,43844
VD,20220125122500,43777
VD,20220125123000,43835
VD,20220125123500,43873
VD,20220125124000,43714
VD,20220125124500,43517
VD,20220125125000,43545
VD,20220125125500,43512
VD,20220125130000,43553
VD,20220125130500,43755
VD,20220125131000,43864
VD,20220125131500,43966
VD,20220125132000,44052
VD,20220125132500,44014
VD,20220125133000,43891
VD,20220125133500,43814
VD,20220125134000,43815
VD,20220125134500,43796
VD,20220125135000,43648
VD,20220125135500,43388
VD,20220125140000,43200
VD,20220125140500,42979
VD,20220125141000,42934
VD,20220125141500,42511
VD,20220125142000,42391
VD,20220125142500,42761
VD,20220125143000,42762
VD,20220125143500,42718
VD,20220125144000,42744
VD,20220125144500,42887
VD,20220125145000,42921
VD,20220125145500,42846
VD,20220125150000,42769
VD,20220125150500,42650
VD,20220125151000,42672
VD,20220125151500,42692
VD,20220125152000,42572
VD,20220125152500,42408
VD,20220125153000,42293
VD,20220125153500,42440
VD,20220125154000,42535
VD,20220125154500,42611
VD,20220125155000,42762
VD,20220125155500,42872
VD,20220125160000,42877
VD,20220125160500,43066
VD,20220125161000,43170
VD,20220125161500,43363
VD,20220125162000,43877
VD,20220125162500,44255
VD,20220125163000,44456
VD,20220125163500,44537
VD,20220125164000,44645
VD,20220125164500,44783
VD,20220125165000,44892
VD,20220125165500,44996
VD,20220125170000,45013
VD,20220125170500,45202
VD,20220125171000,45334
VD,20220125171500,45539
VD,20220125172000,45666
VD,20220125172500,45707
VD,20220125173000,45744
VD,20220125173500,45674
VD,20220125174000,45549
VD,20220125174500,45351
VD,20220125175000,45327
VD,20220125175500,45239
VD,20220125180000,45150
VD,20220125180500,45252
VD,20220125181000,45253
VD,20220125181500,45115
VD,20220125182000,44998
VD,20220125182500,44978
VD,20220125183000,44788
VD,20220125183500,44854
VD,20220125184000,44663
VD,20220125184500,44495
VD,20220125185000,44352
VD,20220125185500,44120
VD,20220125190000,44090
VD,20220125190500,44239
VD,20220125191000,44234
VD,20220125191500,43985
VD,20220125192000,43649
VD,20220125192500,43255
VD,20220125193000,42159
VD,20220125193500,42743
VD,20220125194000,42651
VD,20220125194500,42473
VD,20220125195000,42275
VD,20220125195500,42038
VD,20220125200000,41789
VD,20220125200500,41546
VD,20220125201000,41389
VD,20220125201500,41174
VD,20220125202000,40906
VD,20220125202500,40577
VD,20220125203000,40337
VD,20220125203500,40139
VD,20220125204000,40069
VD,20220125204500,39809
VD,20220125205000,39713
VD,20220125205500,39450
VD,20220125210000,39112
VD,20220125210500,39226
VD,20220125211000,39471
VD,20220125211500,39161
VD,20220125212000,38927
VD,20220125212500,38537
VD,20220125213000,38233
VD,20220125213500,38031
VD,20220125214000,37622
VD,20220125214500,37346
VD,20220125215000,37152
VD,20220125215500,36943
VD,20220125220000,36638
VD,20220125220500,36273
VD,20220125221000,36137
VD,20220125221500,35804
VD,20220125222000,35217
VD,20220125222500,34860
VD,20220125223000,34511
VD,20220125223500,34188
VD,20220125224000,33831
VD,20220125224500,33434
VD,20220125225000,33008
VD,20220125225500,32567
VD,20220125230000,32309
VD,20220125230500,32155
VD,20220125231000,31733
VD,20220125231500,31417
VD,20220125232000,31272
VD,20220125232500,30968
VD,20220125233000,30615
VD,20220125233500,30419
VD,20220125234000,30388
VD,20220125234500,30409
VD,20220125235000,30343
VD,20220125235500,30254
VD,20220126000000,30279
VD,20220126000500,30722
VD,20220126001000,30882
VD,20220126001500,30676
VD,20220126002000,30554
VD,20220126002500,30492
VD,20220126003000,30552
VD,20220126003500,30897
VD,20220126004000,31200
VD,20220126004500,31228
VD,20220126005000,31232
VD,20220126005500,31142
VD,20220126010000,31191
VD,20220126010500,31365
VD,20220126011000,31370
VD,20220126011500,31354
VD,20220126012000,31372
VD,20220126012500,31274
VD,20220126013000,31135
VD,20220126013500,31014
VD,20220126014000,30948
VD,20220126014500,30941
VD,20220126015000,30884
VD,20220126015500,30885
VD,20220126020000,30757
VD,20220126020500,30674
VD,20220126021000,30666
VD,20220126021500,30638
VD,20220126022000,30527
VD,20220126022500,30444
VD,20220126023000,30402
VD,20220126023500,30346
VD,20220126024000,30332
VD,20220126024500,30312
VD,20220126025000,30301
VD,20220126025500,30215
VD,20220126030000,30154
VD,20220126030500,30168
VD,20220126031000,30146
VD,20220126031500,30005
VD,20220126032000,29976
VD,20220126032500,29942
VD,20220126033000,29901
VD,20220126033500,29829
VD,20220126034000,29789
VD,20220126034500,29703
VD,20220126035000,29708
VD,20220126035500,29673
VD,20220126040000,29765
VD,20220126040500,29545
VD,20220126041000,29536
VD,20220126041500,29569
VD,20220126042000,29531
VD,20220126042500,29475
VD,20220126043000,29450
VD,20220126043500,29445
VD,20220126044000,29464
VD,20220126044500,29493
VD,20220126045000,29494
VD,20220126045500,29459
VD,20220126050000,29414
VD,20220126050500,29630
VD,20220126051000,30131
VD,20220126051500,30324
VD,20220126052000,30412
VD,20220126052500,30627
VD,20220126053000,30820
VD,20220126053500,30991
VD,20220126054000,31122
VD,20220126054500,31344
VD,20220126055000,31630
VD,20220126055500,31850
VD,20220126060000,32251
VD,20220126060500,32678
VD,20220126061000,33147
VD,20220126061500,33522
VD,20220126062000,33604
VD,20220126062500,33830
VD,20220126063000,34267
VD,20220126063500,34996
VD,20220126064000,35658
VD,20220126064500,36198
VD,20220126065000,36710
VD,20220126065500,37154
VD,20220126070000,37558
VD,20220126070500,38074
VD,20220126071000,38711
VD,20220126071500,39179
VD,20220126072000,39595
VD,20220126072500,39885
VD,20220126073000,40058
VD,20220126073500,40309
VD,20220126074000,40403
VD,20220126074500,40597
VD,20220126075000,40883
VD,20220126075500,41089
VD,20220126080000,41049
VD,20220126080500,40960
VD,20220126081000,41345
VD,20220126081500,41416
VD,20220126082000,41605
VD,20220126082500,41672
VD,20220126083000,41702
VD,20220126083500,41771
VD,20220126084000,41869
VD,20220126084500,41886
VD,20220126085000,41874
VD,20220126085500,41919
VD,20220126090000,42304
VD,20220126090500,42638
VD,20220126091000,42552
VD,20220126091500,42550
VD,20220126092000,42614
VD,20220126092500,42868
VD,20220126093000,42873
VD,20220126093500,42787
VD,20220126094000,42702
VD,20220126094500,42660
VD,20220126095000,42540
VD,20220126095500,42350
VD,20220126100000,42215
VD,20220126100500,41746
VD,20220126101000,41634
VD,20220126101500,42712
VD,20220126102000,37358
VD,20220126102500,39383
VD,20220126103000,41510
VD,20220126103500,41338
VD,20220126104000,41371
VD,20220126104500,41475
VD,20220126105000,41496
VD,20220126105500,41395
VD,20220126110000,41411
VD,20220126110500,41582
VD,20220126111000,41708
VD,20220126111500,41767
VD,20220126112000,41588
VD,20220126112500,41450
VD,20220126113000,41473
VD,20220126113500,41486
VD,20220126114000,41239
VD,20220126114500,41016
VD,20220126115000,40982
VD,20220126115500,40933
VD,20220126120000,40884
VD,20220126120500,40838
VD,20220126121000,40839
VD,20220126121500,40894
VD,20220126122000,40852
VD,20220126122500,40788
VD,20220126123000,40780
VD,20220126123500,40636
VD,20220126124000,40535
VD,20220126124500,40480
VD,20220126125000,40595
VD,20220126125500,40533
VD,20220126130000,40497
VD,20220126130500,40298
VD,20220126131000,40214
VD,20220126131500,40066
VD,20220126132000,39880
VD,20220126132500,39842
VD,20220126133000,39828
VD,20220126133500,39862
VD,20220126134000,39954
VD,20220126134500,39925
VD,20220126135000,39848
VD,20220126135500,39739
VD,20220126140000,39608
VD,20220126140500,39642
VD,20220126141000,39643
VD,20220126141500,39663
VD,20220126142000,39696
VD,20220126142500,39766
VD,20220126143000,39906
VD,20220126143500,39932
VD,20220126144000,39981
VD,20220126144500,40118
VD,20220126145000,40268
VD,20220126145500,40283
VD,20220126150000,40156
VD,20220126150500,40120
VD,20220126151000,39947
VD,20220126151500,39853
VD,20220126152000,39963
VD,20220126152500,40178
VD,20220126153000,40332
VD,20220126153500,40533
VD,20220126154000,40636
VD,20220126154500,40830
VD,20220126155000,41098
VD,20220126155500,41144
VD,20220126160000,41211
VD,20220126160500,41655
VD,20220126161000,42033
VD,20220126161500,42285
VD,20220126162000,42576
VD,20220126162500,42719
VD,20220126163000,43012
VD,20220126163500,43312
VD,20220126164000,43429
VD,20220126164500,43407
VD,20220126165000,43682
VD,20220126165500,44091
VD,20220126170000,44414
VD,20220126170500,44815
VD,20220126171000,45009
VD,20220126171500,45272
VD,20220126172000,45409
VD,20220126172500,45567
VD,20220126173000,45709
VD,20220126173500,45681
VD,20220126174000,45651
VD,20220126174500,45496
VD,20220126175000,45474
VD,20220126175500,45211
VD,20220126180000,44961
VD,20220126180500,44897
VD,20220126181000,44816
VD,20220126181500,44892
VD,20220126182000,44585
VD,20220126182500,44436
VD,20220126183000,44347
VD,20220126183500,44323
VD,20220126184000,44176
VD,20220126184500,44069
VD,20220126185000,43801
VD,20220126185500,43695
VD,20220126190000,43272
VD,20220126190500,43139
VD,20220126191000,43001
VD,20220126191500,42846
VD,20220126192000,42585
VD,20220126192500,42273
VD,20220126193000,41982
VD,20220126193500,41773
VD,20220126194000,41346
VD,20220126194500,41186
VD,20220126195000,41128
VD,20220126195500,40846
VD,20220126200000,40614
VD,20220126200500,40236
VD,20220126201000,40031
VD,20220126201500,39743
VD,20220126202000,39436
VD,20220126202500,39030
VD,20220126203000,38702
VD,20220126203500,38289
VD,20220126204000,37869
VD,20220126204500,37559
VD,20220126205000,37419
VD,20220126205500,37325
VD,20220126210000,37307
VD,20220126210500,37014
VD,20220126211000,36394
VD,20220126211500,36020
VD,20220126212000,35715
VD,20220126212500,35288
VD,20220126213000,34947
VD,20220126213500,34386
VD,20220126214000,34260
VD,20220126214500,33999
VD,20220126215000,33589
VD,20220126215500,33219
VD,20220126220000,32904
VD,20220126220500,32318
VD,20220126221000,31988
VD,20220126221500,31496
VD,20220126222000,31279
VD,20220126222500,30899
VD,20220126223000,30633
VD,20220126223500,30398
VD,20220126224000,30023
VD,20220126224500,29595
VD,20220126225000,29199
VD,20220126225500,28763
VD,20220126230000,28446
VD,20220126230500,28453
VD,20220126231000,28364
VD,20220126231500,28135
VD,20220126232000,27912
VD,20220126232500,27791
VD,20220126233000,27608
VD,20220126233500,27547
VD,20220126234000,27473
VD,20220126234500,27412
VD,20220126235000,27388
VD,20220126235500,27263
VD,20220127000000,27344
VD,20220127000500,27437
VD,20220127001000,27599
VD,20220127001500,27638
VD,20220127002000,27699
VD,20220127002500,27583
VD,20220127003000,27521
VD,20220127003500,27717
VD,20220127004000,27933
VD,20220127004500,28105
VD,20220127005000,28190
VD,20220127005500,28132
VD,20220127010000,28017
VD,20220127010500,27901
VD,20220127011000,27754
VD,20220127011500,27783
VD,20220127012000,27778
VD,20220127012500,27718
VD,20220127013000,27604
VD,20220127013500,27491
VD,20220127014000,27392
VD,20220127014500,27295
VD,20220127015000,27251
VD,20220127015500,27151
VD,20220127020000,27198
VD,20220127020500,27271
VD,20220127021000,27175
VD,20220127021500,27127
VD,20220127022000,27097
VD,20220127022500,27067
VD,20220127023000,27034
VD,20220127023500,27050
VD,20220127024000,27029
VD,20220127024500,26949
VD,20220127025000,26893
VD,20220127025500,26917
VD,20220127030000,26954
VD,20220127030500,26995
VD,20220127031000,26896
VD,20220127031500,26730
VD,20220127032000,26677
VD,20220127032500,26663
VD,20220127033000,26681
VD,20220127033500,26750
VD,20220127034000,26729
VD,20220127034500,26661
VD,20220127035000,26583
VD,20220127035500,26514
VD,20220127040000,26511
VD,20220127040500,26396
VD,20220127041000,26522
VD,20220127041500,26553
VD,20220127042000,26527
VD,20220127042500,26534
VD,20220127043000,26541
VD,20220127043500,26465
VD,20220127044000,26452
VD,20220127044500,26450
VD,20220127045000,26441
VD,20220127045500,26524
VD,20220127050000,26811
VD,20220127050500,26892
VD,20220127051000,26906
VD,20220127051500,26935
VD,20220127052000,27090
VD,20220127052500,27166
VD,20220127053000,27268
VD,20220127053500,27590
VD,20220127054000,27872
VD,20220127054500,27985
VD,20220127055000,28095
VD,20220127055500,28276
VD,20220127060000,28590
VD,20220127060500,29065
VD,20220127061000,29471
VD,20220127061500,29864
VD,20220127062000,30230
VD,20220127062500,30682
VD,20220127063000,31109
VD,20220127063500,31531
VD,20220127064000,31990
VD,20220127064500,32334
VD,20220127065000,32616
VD,20220127065500,33095
VD,20220127070000,33510
VD,20220127070500,33863
VD,20220127071000,34768
VD,20220127071500,35514
VD,20220127072000,35896
VD,20220127072500,36264
VD,20220127073000,36548
VD,20220127073500,36782
VD,20220127074000,37026
VD,20220127074500,37251
VD,20220127075000,37719
VD,20220127075500,38028
VD,20220127080000,38266
VD,20220127080500,38575
VD,20220127081000,38808
VD,20220127081500,38929
VD,20220127082000,39021
VD,20220127082500,39325
VD,20220127083000,39549
VD,20220127083500,39499
VD,20220127084000,39512
VD,20220127084500,39607
VD,20220127085000,39418
VD,20220127085500,39867
VD,20220127090000,40063
VD,20220127090500,40244
VD,20220127091000,40227
